layer,multiplier,mean_ratio,std_ratio,range_ratio,count,mean_matching_prob,mean_not_matching_prob,matching_is_a_count,matching_is_b_count
10,1.0,1.1776666685481654,0.7383924150398157,1.8434765686144565,6,0.44453462958335876,0.4449065874020259,2,4
20,1.0,1.4923568192950611,1.8676604589648549,4.4871178380028045,6,0.3860876609881719,0.4982791418830554,2,4
10,0.0,1.3938042195050668,1.631772315084146,3.8712778430561516,6,0.3851105471452077,0.48835377643505734,2,4
10,-1.0,2.159476330548569,3.285660825904335,7.846497889099902,6,0.33873432005445164,0.5340989381074905,2,4
20,0.0,1.3938042195050668,1.631772315084146,3.8712778430561516,6,0.3851105471452077,0.48835377643505734,2,4
20,-1.0,1.3121499779684402,1.4405811347846404,3.3867498584318554,6,0.38026123742262524,0.4750491778055827,2,4
30,-1.0,1.3645370257164358,1.568967355837031,3.7129456609501945,6,0.3838691289226214,0.48462051898241043,2,4
30,0.0,1.3938042195050668,1.631772315084146,3.8712778430561516,6,0.3851105471452077,0.48835377643505734,2,4
30,1.0,1.4342495229337349,1.7172391513621859,4.096886353874595,6,0.38740285734335583,0.49409116556247074,2,4
10,15.0,104.42659984623806,89.32893323822971,209.6711541658951,6,0.22981416148832068,0.06971797314084445,2,4
10,20.0,148.94454810898677,132.94138677407227,318.2550563126504,6,0.11596030949537332,0.05331956262428624,2,4
20,15.0,3.17350449575895,5.874753116422873,14.807263166379403,6,0.32848428934812546,0.48868363598982495,2,4
20,20.0,2.013005112329151,3.246192051122815,8.292535444244768,6,0.12407100945711136,0.1584429076562325,2,4
30,15.0,5.694380139984677,9.12797990108577,21.338658748964612,6,0.21875587726632753,0.3231173896541198,2,4
30,20.0,6.505455926925618,10.34614950074405,23.72946582404508,6,0.06712027344231804,0.09294305555522442,2,4
